latitude,longitude,Communities,desc,color,source,precision
42.010531,-87.670748,Rogers Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
42.001567,-87.695137,West Ridge,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.966063,-87.656105,Uptown,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.980215,-87.688119,Lincoln Square,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.953915,-87.6846,North Center,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.944365,-87.655995,Lake View,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.922846,-87.646653,Lincoln Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.89962,-87.63335,Near North Side,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
42.00716,-87.814155,Edison Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.984944,-87.800635,Norwood Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.978694,-87.771047,Jefferson Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.999191,-87.769117,Forest Glen,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.983543,-87.723403,North Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.967961,-87.721337,Albany Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.953849,-87.763269,Portage Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.953426,-87.72339,Irving Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.946372,-87.805955,Dunning,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.929046,-87.79785,Montclare,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.94,-87.63742,Belmont Cragin,"Belmont Harbor, IL, US",,MapQuest,street
41.924248,-87.734557,Hermosa,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.938582,-87.711058,Avondale,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.928568,-87.706793,Logan Square,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.901121,-87.714484,Humboldt Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.900995,-87.677081,West Town,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.890572,-87.757893,Austin,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.87851,-87.73025,West Garfield Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.878873,-87.705938,East Garfield Park,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
41.882102,-87.664531,Near West Side,"Chicago, Cook County, IL, US",,MapQuest,neighborhood
